"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL28545";"";"None";"412.25";"0";"3.19";"20e";"NS(=O)(=O)c1ccc(-n2nc(C(=O)O)c(Cl)c2-c2ccc(Cl)cc2)cc1";"IC50";"'='";"70000.0";"nM";"4.16";"";"";"UO_0000065";"10.08";"0.22";"0.96";"3.60";"0";"CHEMBL763093";"In vitro inhibitory concentration required to block human recombinant prostaglandin G/H synthase 2 (COX-2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130002";"1";"Scientific Literature";"J Med Chem";"1997";"None";"";"";""
"CHEMBL442018";"";"None";"390.89";"0";"4.39";"10i";"CCCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1";"NT";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL763859";"In vitro inhibition of Prostaglandin G/H synthase 2 (COX-2) in human whole blood at 10 uM was determined; Not tested";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145864";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";""
"CHEMBL118081";"";"None";"376.87";"0";"3.91";"10y";"COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1C";"IC50";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"20.93";"0.43";"3.98";"12.89";"0";"CHEMBL762914";"In vitro inhibitory activity against human Prostaglandin G/H synthase 2 (COX-2) in 143982 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"143982";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145864";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";""
"CHEMBL28";"APIGENIN";"None";"270.24";"0";"2.58";"apigenin";"O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12";"IC50";"'='";"8000.0";"nM";"5.10";"";"";"UO_0000065";"18.86";"0.35";"2.52";"5.61";"0";"CHEMBL1008495";"Inhibition of COX2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151260";"1";"Scientific Literature";"J Nat Prod";"2005";"None";"";"";""
"CHEMBL116438";"CURCUMIN";"3.0";"368.39";"0";"3.85";"1";"COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O";"Activity";"";"";"";"";"";"Dose-dependent effect";"";"";"";"";"";"0";"CHEMBL1008495";"Inhibition of COX2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151260";"1";"Scientific Literature";"J Nat Prod";"2005";"None";"";"";""
"CHEMBL122";"ROFECOXIB";"4.0";"314.36";"0";"2.56";"3 (rofecoxib)";"CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1";"Inhibition";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL764999";"Inhibition of Prostaglandin G/H synthase 2 (COX-2) in human whole blood at 10 uM";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145864";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";""
"CHEMBL296984";"";"None";"367.35";"0";"3.21";"31";"NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2)cc1";"IC50";"'='";"39.81";"nM";"7.40";"";"";"UO_0000065";"20.14";"0.40";"4.19";"9.49";"0";"CHEMBL763870";"Inhibition of human Prostaglandin G/H synthase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134614";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";""
"CHEMBL497134";"ITOSIDE A";"None";"406.39";"0";"-0.07";"7";"O=C(O[C@H]1[C@H](Oc2ccc(O)cc2CO)O[C@H](CO)[C@@H](O)[C@@H]1O)c1ccccc1";"Inhibition";"'='";"46.3";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL973285";"Inhibition of COX2 at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150272";"1";"Scientific Literature";"J Nat Prod";"2008";"None";"";"";""
"CHEMBL367885";"";"None";"390.50";"0";"4.85";"24";"CC(C)(O)c1scc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL769643";"Inhibitory activity against human recombinant Prostaglandin G/H synthase 2 expressed in microsomes taken from baculovirus infected Sf9 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"Microsomes";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128908";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"CHEMBL3308860";"";"";""
"CHEMBL263909";"";"None";"371.87";"0";"4.84";"18";"O=C1N/C(=N/c2nsc3ccccc23)S/C1=C\c1ccc(Cl)cc1";"Inhibition";"'='";"45.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1929732";"Inhibition of human recombinant COX-2 assessed as PGF2alpha production at 200 uM by enzyme immunoassay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL230";"Cyclooxygenase-2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1926679";"1";"Scientific Literature";"Eur J Med Chem";"2012";"None";"";"";""
